FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                      , Base_HIP-default                  ,         , Base_HIP-block_256                ,         , Base_HIP-blkatm_direct_256        ,         , Base_HIP-blkatm_occgs_256         ,         , Base_HIP-atomic_direct_256        ,         , Base_HIP-atomic_occgs_256         ,         , Base_HIP-blkhst_direct_256        ,         , Base_HIP-blkhst_occgs_256         ,         , Base_HIP-block_64                 ,         , Base_HIP-block_25                 ,         , Base_HIP-rocprim                  ,         , Base_HIP-library                  ,         , Base_HIP-replicate_4096_global_256,         , Base_HIP-replicate_4096_warp_256  ,         , Base_HIP-replicate_4096_block_256 ,         , RAJA_HIP-default                  ,         , RAJA_HIP-block_256                ,         , RAJA_HIP-blkatm_direct_256        ,         , RAJA_HIP-blkdev_direct_256        ,         , RAJA_HIP-blkdev_direct_new_256    ,         , RAJA_HIP-blkatm_occgs_256         ,         , RAJA_HIP-blkdev_occgs_256         ,         , RAJA_HIP-blkdev_occgs_new_256     ,         , RAJA_HIP-atomic_direct_256        ,         , RAJA_HIP-atomic_occgs_256         ,         , RAJA_HIP-block_64                 ,         , RAJA_HIP-block_25                 ,         , RAJA_HIP-rocprim                  ,         , RAJA_HIP-library                  ,         , RAJA_HIP-replicate_4096_global_256,        
Lcals_EOS                   , 0                                 ,         , 0                                 ,base_ref , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0.0049                            ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,        
Lcals_FIRST_DIFF            , 0                                 ,         , 0                                 ,base_ref , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , -0.0025                           ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,        
Lcals_FIRST_MIN             , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,base_ref , 0.27                              ,OVER_TOL , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0.52                              ,OVER_TOL , 11                                ,OVER_TOL , 0                                 ,         , -0.33                             ,         , 0.67                              ,OVER_TOL , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,        
Lcals_FIRST_SUM             , 0                                 ,         , 0                                 ,base_ref , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , -0.02                             ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,        
Lcals_GEN_LIN_RECUR         , 0                                 ,         , 0                                 ,base_ref , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0.12                              ,OVER_TOL , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,        
Lcals_HYDRO_1D              , 0                                 ,         , 0                                 ,base_ref , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0.0037                            ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,        
Lcals_HYDRO_2D              , 0                                 ,         , 0                                 ,base_ref , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0.021                             ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,        
Lcals_INT_PREDICT           , 0                                 ,         , 0                                 ,base_ref , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0.082                             ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,        
Lcals_PLANCKIAN             , 0                                 ,         , 0                                 ,base_ref , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0.0018                            ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,        
Lcals_TRIDIAG_ELIM          , 0                                 ,         , 0                                 ,base_ref , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , -0.019                            ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,         , 0                                 ,        
